Horario da captura:  2:02:01 PM -03 on 16, 2018; Temperatura na CPU: 45.622; Temperatura na GPU :45.6'C
Horario da captura:  2:02:02 PM -03 on 16, 2018; Temperatura na CPU: 45.622; Temperatura na GPU :45.6'C
Horario da captura:  2:02:03 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :45.6'C
Horario da captura:  2:02:04 PM -03 on 16, 2018; Temperatura na CPU: 45.622; Temperatura na GPU :45.6'C
Horario da captura:  2:02:05 PM -03 on 16, 2018; Temperatura na CPU: 45.622; Temperatura na GPU :45.6'C
Horario da captura:  2:02:06 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :46.7'C
Horario da captura:  2:02:07 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:08 PM -03 on 16, 2018; Temperatura na CPU: 46.698; Temperatura na GPU :47.2'C
Horario da captura:  2:02:09 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :46.2'C
Horario da captura:  2:02:10 PM -03 on 16, 2018; Temperatura na CPU: 46.698; Temperatura na GPU :46.2'C
Horario da captura:  2:02:11 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:02:12 PM -03 on 16, 2018; Temperatura na CPU: 45.622; Temperatura na GPU :45.1'C
Horario da captura:  2:02:13 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :45.6'C
Horario da captura:  2:02:14 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:02:15 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  2:02:16 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  2:02:17 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  2:02:18 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  2:02:19 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  2:02:20 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  2:02:21 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  2:02:22 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :48.3'C
Horario da captura:  2:02:23 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  2:02:24 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :47.8'C
Horario da captura:  2:02:25 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.2'C
Horario da captura:  2:02:26 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:27 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.2'C
Horario da captura:  2:02:28 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:29 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:30 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:31 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:32 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  2:02:33 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  2:02:34 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:35 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.2'C
Horario da captura:  2:02:36 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:02:37 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  2:02:38 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :48.3'C
Horario da captura:  2:02:39 PM -03 on 16, 2018; Temperatura na CPU: 46.698; Temperatura na GPU :46.2'C
Horario da captura:  2:02:40 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.2'C
Horario da captura:  2:02:41 PM -03 on 16, 2018; Temperatura na CPU: 48.85; Temperatura na GPU :48.3'C
Horario da captura:  2:02:42 PM -03 on 16, 2018; Temperatura na CPU: 49.388; Temperatura na GPU :49.4'C
Horario da captura:  2:02:43 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :49.4'C
Horario da captura:  2:02:44 PM -03 on 16, 2018; Temperatura na CPU: 49.388; Temperatura na GPU :49.4'C
Horario da captura:  2:02:45 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :49.9'C
Horario da captura:  2:02:46 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :49.9'C
Horario da captura:  2:02:47 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:02:48 PM -03 on 16, 2018; Temperatura na CPU: 51.002; Temperatura na GPU :50.5'C
Horario da captura:  2:02:49 PM -03 on 16, 2018; Temperatura na CPU: 51.54; Temperatura na GPU :50.5'C
Horario da captura:  2:02:50 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:02:51 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:02:52 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :46.2'C
Horario da captura:  2:03:04 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :47.2'C
Horario da captura:  2:03:05 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:03:06 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :48.3'C
Horario da captura:  2:03:07 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :48.3'C
Horario da captura:  2:03:08 PM -03 on 16, 2018; Temperatura na CPU: 49.388; Temperatura na GPU :49.4'C
Horario da captura:  2:03:09 PM -03 on 16, 2018; Temperatura na CPU: 49.925; Temperatura na GPU :49.9'C
Horario da captura:  2:03:10 PM -03 on 16, 2018; Temperatura na CPU: 50.464; Temperatura na GPU :50.5'C
Horario da captura:  2:03:11 PM -03 on 16, 2018; Temperatura na CPU: 51.54; Temperatura na GPU :51.5'C
Horario da captura:  2:03:12 PM -03 on 16, 2018; Temperatura na CPU: 51.54; Temperatura na GPU :51.5'C
Horario da captura:  2:03:13 PM -03 on 16, 2018; Temperatura na CPU: 52.615; Temperatura na GPU :52.6'C
Horario da captura:  2:03:14 PM -03 on 16, 2018; Temperatura na CPU: 52.078; Temperatura na GPU :52.1'C
Horario da captura:  2:03:15 PM -03 on 16, 2018; Temperatura na CPU: 51.54; Temperatura na GPU :52.1'C
Horario da captura:  2:03:16 PM -03 on 16, 2018; Temperatura na CPU: 52.615; Temperatura na GPU :52.6'C
Horario da captura:  2:03:17 PM -03 on 16, 2018; Temperatura na CPU: 52.615; Temperatura na GPU :53.2'C
Horario da captura:  2:03:18 PM -03 on 16, 2018; Temperatura na CPU: 53.154; Temperatura na GPU :52.6'C
