Horario da captura:  8:23:14 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:23:15 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  8:23:16 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:23:17 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:23:18 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:19 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  8:23:20 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  8:23:21 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:22 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:23 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:24 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:25 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:26 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:27 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:28 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:23:30 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:31 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:32 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  8:23:33 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  8:23:34 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
