Horario da captura:  8:16:49 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:50 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.1'C
Horario da captura:  8:16:51 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.1'C
Horario da captura:  8:16:52 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:53 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:54 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:55 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:56 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :45.1'C
Horario da captura:  8:16:57 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:58 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:59 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.1'C
Horario da captura:  8:17:00 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:17:01 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:17:02 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:17:04 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :45.6'C
Horario da captura:  8:17:05 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :46.2'C
Horario da captura:  8:17:06 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  8:17:07 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  8:17:08 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  8:17:09 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:17:10 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:11 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  8:17:12 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  8:17:13 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:14 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:15 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:16 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:17 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  8:17:18 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  8:17:19 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  8:17:20 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :50.5'C
Horario da captura:  8:17:21 PM -03 on 17         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  8:17:22 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  8:17:23 PM -03 on 17         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :51.0'C
Horario da captura:  8:17:25 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  8:17:26 PM -03 on 17         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :50.5'C
Horario da captura:  8:17:27 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :52.1'C
Horario da captura:  8:17:28 PM -03 on 17         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :52.6'C
Horario da captura:  8:17:29 PM -03 on 17         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:30 PM -03 on 17         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:31 PM -03 on 17         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:32 PM -03 on 17         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:33 PM -03 on 17         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:34 PM -03 on 17         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :54.2'C
Horario da captura:  8:17:35 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.2'C
Horario da captura:  8:17:36 PM -03 on 17         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :54.2'C
Horario da captura:  8:17:38 PM -03 on 17         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:39 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:40 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:41 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:42 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:43 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:44 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.2'C
Horario da captura:  8:17:45 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :55.3'C
Horario da captura:  8:17:46 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :55.8'C
Horario da captura:  8:17:47 PM -03 on 17         , 2018; Temperatura na CPU: 55.843; Temperatura na GPU         :56.4'C
Horario da captura:  8:17:48 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :55.8'C
Horario da captura:  8:17:49 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:50 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :55.8'C
Horario da captura:  8:17:51 PM -03 on 17         , 2018; Temperatura na CPU: 55.306; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:52 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:53 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:54 PM -03 on 17         , 2018; Temperatura na CPU: 54.768; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:55 PM -03 on 17         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :54.8'C
Horario da captura:  8:17:56 PM -03 on 17         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :55.3'C
Horario da captura:  8:17:57 PM -03 on 17         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  8:17:59 PM -03 on 17         , 2018; Temperatura na CPU: 52.078; Temperatura na GPU         :53.2'C
Horario da captura:  8:18:00 PM -03 on 17         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :52.6'C
Horario da captura:  8:18:01 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :52.1'C
Horario da captura:  8:18:02 PM -03 on 17         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :53.2'C
Horario da captura:  8:18:03 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:04 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:05 PM -03 on 17         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :53.2'C
Horario da captura:  8:18:06 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :52.1'C
Horario da captura:  8:18:07 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:08 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:09 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:10 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.5'C
Horario da captura:  8:18:11 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :50.5'C
