Horario da captura:  2:33:35 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :47.8'C
Horario da captura:  2:33:36 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:37 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:38 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :47.8'C
Horario da captura:  2:33:40 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:41 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:42 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:43 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  2:33:44 PM -03 on 16         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:45 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:46 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:47 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  2:33:48 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:49 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:33:50 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  2:33:51 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:33:52 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  2:33:54 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :50.5'C
Horario da captura:  2:33:55 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :49.9'C
Horario da captura:  2:33:56 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :50.5'C
Horario da captura:  2:33:57 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  2:33:58 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :49.9'C
Horario da captura:  2:33:59 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:00 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:01 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:02 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:03 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:04 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:05 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:06 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:08 PM -03 on 16         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:09 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:10 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:11 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:12 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:13 PM -03 on 16         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :49.9'C
Horario da captura:  2:34:14 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:15 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.0'C
Horario da captura:  2:34:16 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:17 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:18 PM -03 on 16         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:19 PM -03 on 16         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :50.5'C
Horario da captura:  2:34:21 PM -03 on 16         , 2018; Temperatura na CPU: 51.002; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:22 PM -03 on 16         , 2018; Temperatura na CPU: 52.078; Temperatura na GPU         :51.5'C
Horario da captura:  2:34:23 PM -03 on 16         , 2018; Temperatura na CPU: 52.078; Temperatura na GPU         :52.1'C
Horario da captura:  2:34:24 PM -03 on 16         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :52.6'C
Horario da captura:  2:34:25 PM -03 on 16         , 2018; Temperatura na CPU: 52.615; Temperatura na GPU         :52.6'C
Horario da captura:  2:34:26 PM -03 on 16         , 2018; Temperatura na CPU: 52.078; Temperatura na GPU         :52.6'C
Horario da captura:  2:34:27 PM -03 on 16         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :52.6'C
Horario da captura:  2:34:28 PM -03 on 16         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :53.2'C
Horario da captura:  2:34:29 PM -03 on 16         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:30 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:32 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:33 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.2'C
Horario da captura:  2:34:34 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :54.2'C
Horario da captura:  2:34:35 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:36 PM -03 on 16         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:37 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :54.2'C
Horario da captura:  2:34:38 PM -03 on 16         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:39 PM -03 on 16         , 2018; Temperatura na CPU: 53.692; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:40 PM -03 on 16         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :53.7'C
Horario da captura:  2:34:41 PM -03 on 16         , 2018; Temperatura na CPU: 54.23; Temperatura na GPU         :53.7'C
